,open,high,low,close,volume
2024-11-07,177.4100,181.0800,177.1900,180.7500,25352939
2024-11-08,180.6450,180.9000,178.0800,178.3500,22006182
2024-11-11,178.5800,180.5450,178.4700,180.3500,17450354
2024-11-12,179.8200,182.4900,179.3900,181.6200,25134905
2024-11-13,180.4600,180.9600,178.5400,178.8800,23184003
2024-11-14,178.2800,178.8200,174.3218,175.5800,31007457
2024-11-15,173.7300,174.1400,171.2200,172.4900,32504649
2024-11-18,173.4200,175.4380,172.9000,175.3000,20206613
2024-11-19,173.7200,178.8700,173.5600,178.1200,23434925
2024-11-20,177.3400,177.6750,173.7800,175.9800,18997111
2024-11-21,173.9000,174.1300,163.7000,167.6300,59734379
2024-11-22,165.8500,166.4600,163.9000,164.7600,38604587
2024-11-25,166.0900,168.6300,165.6072,167.6500,33135263
2024-11-26,167.6300,169.8200,167.5800,169.1200,20486720
2024-11-27,169.0000,169.4832,168.0200,169.2300,19266511
2024-11-29,168.5000,169.4300,167.1600,168.9500,14257244
2024-12-02,168.7650,172.0750,168.5700,171.4900,23789084
2024-12-03,171.4900,172.6800,170.8500,171.3400,22248705
2024-12-04,171.1450,174.9100,171.0600,174.3700,31615137
2024-12-05,175.3600,176.0600,172.3300,172.6400,21356243
2024-12-06,172.0300,175.0800,171.8600,174.7100,21462393
2024-12-09,173.9600,176.2600,173.6500,175.3700,25389631
2024-12-10,182.8450,186.3600,181.0500,185.1700,54813022
2024-12-11,185.3100,195.6100,184.8500,195.4000,67894071
2024-12-12,195.0000,195.1800,191.7100,191.9600,34817486
2024-12-13,191.0100,192.7300,189.6400,189.8200,25143495
2024-12-16,192.8700,199.0000,192.6200,196.6600,44934901
2024-12-17,197.2500,201.4200,194.9800,195.4200,43504025
2024-12-18,195.2200,197.0000,187.7400,188.4000,34166074
2024-12-19,191.6250,193.0300,188.3800,188.5100,32265241
2024-12-20,185.7800,192.8900,185.2200,191.4100,63462934
2024-12-23,192.6200,195.1000,190.1500,194.6300,25675014
2024-12-24,194.8400,196.1100,193.7800,196.1100,10403259
2024-12-26,195.1500,196.7480,194.3750,195.6000,12057210
2024-12-27,194.9500,195.3200,190.6500,192.7600,18891362
2024-12-30,189.8000,192.5500,189.1200,191.2400,14264659
2024-12-31,191.0750,191.9600,188.5100,189.3000,17466919
2025-01-02,190.6500,192.0000,187.5000,189.4300,20370828
2025-01-03,191.3700,193.2100,189.9750,191.7900,18596159
2025-01-06,193.9800,198.2222,193.8500,196.8700,29563638
2025-01-07,197.1100,201.0000,194.6000,195.4900,26487244
2025-01-08,192.5700,196.2900,192.3800,193.9500,24864766
2025-01-10,194.2950,196.5200,190.3100,192.0400,26665206
2025-01-13,190.0700,191.1800,187.3600,191.0100,21823699
2025-01-14,191.2400,191.9800,188.3082,189.6600,17174854
2025-01-15,193.0900,196.3600,191.8600,195.5500,21775969
2025-01-16,194.1400,195.4800,192.8100,192.9100,17815432
2025-01-17,196.5300,197.2300,193.7500,196.0000,27735089
2025-01-21,199.0700,202.2900,197.8700,198.0500,29971292
2025-01-22,199.0600,200.4800,197.5300,198.3700,26200617
2025-01-23,198.1400,200.3000,195.2000,197.9800,26951357
2025-01-24,198.1000,200.9000,198.0000,200.2100,23877521
2025-01-27,192.4100,196.8800,190.7300,191.8100,41728893
2025-01-28,192.7450,195.4800,190.6800,195.3000,24157929
2025-01-29,195.5550,196.7850,193.4300,195.4100,18218256
2025-01-30,198.0000,201.4000,197.6700,200.8700,24354684
2025-01-31,202.0000,205.4800,201.8000,204.0200,32041952
2025-02-03,200.6900,203.7500,200.1000,201.2300,27838348
2025-02-04,203.3900,207.0500,202.8100,206.3800,43856425
2025-02-05,191.0700,192.7500,188.0300,191.3300,70461770
2025-02-06,189.5000,192.1000,188.7200,191.6000,29297442
2025-02-07,191.0500,191.1800,183.2400,185.3400,49314961
2025-02-10,187.3500,188.2000,185.8600,186.4700,23105649
2025-02-11,185.0300,186.9400,184.2800,185.3200,21239519
2025-02-12,183.2200,185.1100,181.8300,183.6100,22072559
2025-02-13,184.3200,186.2800,183.1400,186.1400,21402523
2025-02-14,185.0550,186.4000,184.3200,185.2300,20448437
2025-02-18,185.6000,185.9600,181.7401,183.7700,29916675
2025-02-19,184.0700,185.4600,183.5900,185.2700,19549396
2025-02-20,184.8000,185.3100,182.7200,184.5600,20441462
2025-02-21,185.1500,185.3400,179.0800,179.6600,35199239
2025-02-24,181.9900,183.1200,178.8850,179.2500,29854206
2025-02-25,178.0400,178.7400,174.6939,175.4200,41913411
2025-02-26,175.0700,176.0800,171.5807,172.7300,35431268
2025-02-27,173.9900,174.5600,167.9400,168.5000,39991015
2025-02-28,168.6800,170.6100,166.7700,170.2800,48130565
2025-03-03,171.9250,173.3700,165.9300,167.0100,40770451
2025-03-04,166.2400,173.2946,165.8000,170.9200,45387996
2025-03-05,170.5200,173.7800,169.0600,173.0200,30954922
2025-03-06,170.5300,174.8100,170.5000,172.3500,28301953
2025-03-07,171.2600,174.9700,170.2700,173.8600,27385813
2025-03-10,168.2600,168.4600,163.6900,165.8700,43377356
2025-03-11,164.9100,166.7500,161.3700,164.0400,39587414
2025-03-12,166.5800,167.6399,163.5300,167.1100,28372396
2025-03-13,166.0350,166.1300,162.1100,162.7600,31756214
2025-03-14,163.2700,166.4900,162.4500,165.4900,31995894
2025-03-17,165.0300,166.3000,163.6700,164.2900,31184335
2025-03-18,163.6750,164.2500,156.7200,160.6700,42074751
2025-03-19,161.7600,165.8700,161.0000,163.8900,34275582
2025-03-20,161.5700,164.8900,160.9600,162.8000,28138464
2025-03-21,161.2050,164.2400,160.8901,163.9900,36625764
2025-03-24,167.0650,168.3200,165.1400,167.6800,30879129
2025-03-25,168.9800,170.6300,168.3150,170.5600,24174373
2025-03-26,169.0000,169.6100,164.8400,165.0600,28939326
2025-03-27,164.6300,165.4200,162.0000,162.2400,24508273
2025-03-28,160.4900,161.8200,153.6300,154.3300,48669335
2025-03-31,153.1100,155.5400,150.6620,154.6400,54603464
2025-04-01,153.6200,158.1000,153.6200,157.0700,30672899
2025-04-02,155.1500,158.4052,154.7000,157.0400,25041730
2025-04-03,151.1100,152.7799,150.3900,150.7200,46883371
2025-04-04,148.0100,151.0700,145.3800,145.6000,62259539
2025-04-07,141.5500,152.8500,140.5300,146.7500,76794136
2025-04-08,151.2200,152.2400,143.0300,144.7000,52200208
2025-04-09,144.4150,159.5500,143.9050,158.7100,70406232
2025-04-10,156.5400,157.7200,149.9300,152.8200,48021972
2025-04-11,152.9000,157.6700,152.8200,157.1400,33636239
2025-04-14,159.9950,161.7200,157.5600,159.0700,30332957
2025-04-15,159.1250,159.6500,155.2100,156.3100,27551534
2025-04-16,153.1000,155.8900,151.5100,153.3300,28187421
2025-04-17,154.2900,154.6800,148.5000,151.1600,33046576
2025-04-21,148.8800,148.9450,146.1000,147.6700,26049115
2025-04-22,148.8900,152.1900,148.5400,151.4700,26971774
2025-04-23,155.6100,157.5250,153.8100,155.3500,31128833
2025-04-24,156.1500,159.5900,155.7900,159.2800,45893951
2025-04-25,165.0700,166.1000,161.0400,161.9600,56033995
2025-04-28,162.4250,163.1500,158.6000,160.6100,29745782
2025-04-29,160.3250,160.7400,157.5200,160.1600,26808958
2025-04-30,157.9750,159.2700,155.4000,158.8000,34981059
2025-05-01,160.4500,161.9500,158.9100,161.3000,30203248
2025-05-02,163.4050,164.9700,161.8700,164.0300,25715005
2025-05-05,163.0000,165.3900,162.7200,164.2100,21341814
2025-05-06,162.1700,164.8000,161.1900,163.2300,21277210
2025-05-07,164.0800,165.0000,147.8400,151.3800,127747554
2025-05-08,155.0000,155.9300,152.9000,154.2800,57498692
2025-05-09,154.1700,155.0500,152.2000,152.7500,32435281
2025-05-12,157.4850,159.1000,156.2500,158.4600,44138818
2025-05-13,158.7900,160.5700,156.1600,159.5300,42382126
2025-05-14,159.9600,167.0000,159.6100,165.3700,48755869
2025-05-15,165.8400,166.2050,162.3732,163.9600,33146669
2025-05-16,167.7250,169.3500,165.6200,166.1900,42846925
2025-05-19,164.5100,166.6400,164.2200,166.5400,30426097
2025-05-20,166.4300,168.5000,162.9000,163.9800,46607656
2025-05-21,163.6900,173.1400,163.5600,168.5600,73415956
2025-05-22,171.8500,176.7700,170.7100,170.8700,74864418
2025-05-23,169.0550,169.9600,167.8900,168.4700,35211439
